date,user,text
2022-12-12 10:56:15,JaePalsu,RT @Sarusy2: Semoga ke depan tdk ada lagi pembatasan buat rakyat miskin demi memenuhi kebutuhan hidupnya dg alasan PPKM karena virus Corona…
2022-12-12 09:00:01,TVTempoChannel,RT @TVTempoChannel: KABAR PANDEMI - VIDEO REPLAY Upaya Melindungi Anak dari Virus Corona https://t.co/xnZn7ZgGdx  #KabarPandemi #Perlindung…
2022-12-12 08:57:02,garuda080,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 08:39:21,bamantara00,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 08:00:26,Polsek04805974,Operasi Yustisi* wilkum Polsek Firdaus dalam rangka peningkatan disiplin dan penegakan hukum Protokol Kesehatan ser… https://t.co/O8UzRTD2XX
2022-12-12 07:59:09,iqbalink13,"RT @riego_see: Bio Farma (Persero), saat ini memiliki screening kit virus corona (Covid-19) terbaru, dengan VarScreen RxReady ini bisa lang…"
2022-12-12 07:59:05,iqbalink13,"RT @riego_see: Pemberian vaksin COVID-19 termasuk booster, utamanya mencegah perburukan dan mengurangi jumlah virus Corona. Hal ini membuat…"
2022-12-12 07:55:49,iqbalink13,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 07:54:57,apolloresor,"RT @riego_see: Bio Farma (Persero), saat ini memiliki screening kit virus corona (Covid-19) terbaru, dengan VarScreen RxReady ini bisa lang…"
2022-12-12 07:54:49,apolloresor,"RT @riego_see: Pemberian vaksin COVID-19 termasuk booster, utamanya mencegah perburukan dan mengurangi jumlah virus Corona. Hal ini membuat…"
2022-12-12 07:52:35,apolloresor,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 07:43:56,EksisSosmed,RT @BotakPahlawan: Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus Corona varian baru Omicr…
2022-12-12 07:29:53,BotakPahlawan,RT @BotakPahlawan: Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus Corona varian baru Omicr…
2022-12-12 07:29:39,BotakPahlawan,Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus Corona varian baru… https://t.co/TzlTau83Mf
2022-12-12 07:07:05,Ringdin99585390,"RT @1bun_1cho: @nonamu____ @kaesangp Waduhh konspirasi ini, apa hubungan virus corona dengan pak jokowi jangan jangan.."
2022-12-12 07:07:04,Ringdin99585390,RT @iskandararrosid: @nonamu____ @kaesangp Iya mba itu emang virus corona yg sudah diawetin ama di cat glosy
2022-12-12 06:58:43,al_fatihmuj,RT @Sarusy2: Semoga ke depan tdk ada lagi pembatasan buat rakyat miskin demi memenuhi kebutuhan hidupnya dg alasan PPKM karena virus Corona…
2022-12-12 06:57:39,syugamilky,"@tanyarlfes Habis ujian, waktu itu lagi jam kosong karna emang mau ada pengumuman tentang libur 2 minggu. Guru guru… https://t.co/hGcBUzroiP"
2022-12-12 06:55:42,garuda080,"RT @riego_see: Bio Farma (Persero), saat ini memiliki screening kit virus corona (Covid-19) terbaru, dengan VarScreen RxReady ini bisa lang…"
2022-12-12 06:53:47,garuda080,"RT @riego_see: Pemberian vaksin COVID-19 termasuk booster, utamanya mencegah perburukan dan mengurangi jumlah virus Corona. Hal ini membuat…"
2022-12-12 06:52:54,weld_jam3,@dolllsmama Corona virus : says hi 🤣😭
2022-12-12 06:50:08,Torrez_20_06,"RT @riego_see: Pemberian vaksin COVID-19 termasuk booster, utamanya mencegah perburukan dan mengurangi jumlah virus Corona. Hal ini membuat…"
2022-12-12 06:50:04,Torrez_20_06,"RT @riego_see: Bio Farma (Persero), saat ini memiliki screening kit virus corona (Covid-19) terbaru, dengan VarScreen RxReady ini bisa lang…"
2022-12-12 06:48:30,Andiriego_,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 06:47:53,Torrez_20_06,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 06:44:04,Andiriego_,"RT @riego_see: Bio Farma (Persero), saat ini memiliki screening kit virus corona (Covid-19) terbaru, dengan VarScreen RxReady ini bisa lang…"
2022-12-12 06:43:43,Andiriego_,"RT @riego_see: Pemberian vaksin COVID-19 termasuk booster, utamanya mencegah perburukan dan mengurangi jumlah virus Corona. Hal ini membuat…"
2022-12-12 06:42:36,riego_see,"RT @riego_see: Pemberian vaksin COVID-19 termasuk booster, utamanya mencegah perburukan dan mengurangi jumlah virus Corona. Hal ini membuat…"
2022-12-12 06:38:15,forjakeu,"RT @riego_see: Bio Farma (Persero), saat ini memiliki screening kit virus corona (Covid-19) terbaru, dengan VarScreen RxReady ini bisa lang…"
2022-12-12 06:38:11,forjakeu,"RT @riego_see: Pemberian vaksin COVID-19 termasuk booster, utamanya mencegah perburukan dan mengurangi jumlah virus Corona. Hal ini membuat…"
2022-12-12 06:35:57,forjakeu,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 06:31:39,Bank_Aconk,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 06:26:13,Bank_Aconk,"RT @riego_see: Pemberian vaksin COVID-19 termasuk booster, utamanya mencegah perburukan dan mengurangi jumlah virus Corona. Hal ini membuat…"
